City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Aklavik,CA,68.2191,-135.0107,12.2,85,75,2.3,broken clouds
79,Samarai,PG,-10.6167,150.6667,85.01,74,94,14.03,overcast clouds
80,Batagay-Alyta,RU,67.8006,130.4114,-28.95,92,46,2.68,scattered clouds
81,Aracataca,CO,10.5918,-74.1898,78.66,91,100,1.99,light rain
82,Karratha,AU,-20.7377,116.8463,71.98,66,8,10.85,clear sky
83,Isangel,VU,-19.55,169.2667,82.49,64,93,6.31,overcast clouds
84,Mandalgovi,MN,45.7625,106.2708,28.17,34,8,7.54,clear sky
85,Cape Town,ZA,-33.9258,18.4232,62.28,71,0,13.8,clear sky
86,Jamestown,US,42.097,-79.2353,35.02,73,100,11.5,overcast clouds
87,Hilo,US,19.7297,-155.09,81.25,77,75,5.99,broken clouds
88,Fairbanks,US,64.8378,-147.7164,14.09,85,20,0.0,few clouds
89,Paamiut,GL,61.994,-49.6678,13.59,84,59,12.53,broken clouds
90,Eyl,SO,7.9803,49.8164,77.18,74,9,12.24,clear sky
91,Waddan,LY,29.1614,16.139,63.01,28,0,6.04,clear sky
92,Kattivakkam,IN,13.2167,80.3167,75.29,73,34,9.35,scattered clouds
93,Tomatlan,MX,19.9333,-105.25,85.39,56,0,2.08,clear sky
94,Paranaiba,BR,-19.6772,-51.1908,78.35,25,0,9.06,clear sky
95,Vardo,NO,70.3705,31.1107,35.58,51,94,12.66,overcast clouds
96,Izmit,TR,40.7669,29.9169,40.98,100,20,1.14,few clouds
97,Solnechnyy,RU,50.7214,136.6319,15.26,83,23,2.66,few clouds
98,Lebu,CL,-37.6167,-73.65,60.13,86,6,9.13,clear sky
99,Luderitz,NA,-26.6481,15.1594,61.27,80,15,12.77,few clouds
100,Manga,BF,11.6636,-1.0731,74.61,17,13,7.36,few clouds
101,Abalak,RU,58.1286,68.5944,-10.88,98,21,2.89,few clouds
102,Chuy,UY,-33.6971,-53.4616,66.09,69,4,6.04,clear sky
103,Granville,AU,-33.8333,151.0167,65.01,58,20,9.22,few clouds
104,Yermakovskoye,RU,53.2831,92.4003,26.8,84,100,2.64,overcast clouds
105,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,90,80,5.39,broken clouds
106,Pevek,RU,69.7008,170.3133,6.87,95,100,2.44,light snow
107,Namatanai,PG,-3.6667,152.4333,83.48,70,100,6.08,overcast clouds
108,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,51,0,21.85,clear sky
109,Espanola,US,35.9911,-106.0806,43.14,37,12,3.0,few clouds
110,Naze,JP,28.3667,129.4833,68.92,68,96,11.68,light rain
111,Ballina,AU,-28.8667,153.5667,66.78,47,99,12.8,overcast clouds
112,Yellowknife,CA,62.456,-114.3525,1.92,66,20,6.91,few clouds
113,Saint-Pierre,RE,-21.3393,55.4781,69.91,56,0,8.05,clear sky
114,Kapaa,US,22.0752,-159.319,80.92,60,20,12.66,few clouds
115,Saint George,US,37.1041,-113.5841,54.25,26,0,5.75,clear sky
116,Shuangyang,CN,43.5242,125.6736,31.35,72,61,7.72,broken clouds
117,Sarakhs,IR,36.5449,61.1577,50.77,49,79,10.87,broken clouds
